Designator,Footprint,Quantity,Value,LCSC Part #
,7f5ab76e-00c1-41d5-9dfb-255ff1bbb225,1,,
"100NF_CONDENSATEUR_CERAMIQUE_1206_1, 100NF_CONDENSATEUR_CERAMIQUE_1206_2",1206,2,100nf Ceramic Capacitor 1206,C1945
10K_RESITANCE_0603_2,0603,1,10k resistor 0603,C2930027
20K_RESISTANCE,0603,1,20k 0603,C2907124
BORNIER_A_VIS_GROS,YK3310203000G,1,P=8.25mm Barrier Blocks RoHS,C49023053
BORNIER_BLEU,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,KF301-5.0-2P,C474881
CONDENSATEUR_CHIMIQUE,C_Elec_5x5.8,1,50V10UF,C2992603
MICROCONTRÔLEUR,SOIC8-N_MC_MCH-M,1,PMS150C,C129127
PONT_REDRESSEUR,TO-269AA_3P8X4P75_DIO-M,1,MB10S,C2886577
QUARTZ,QUARTZ,1,3.579545 HC-49S,C20617532
RESISTANCE_12K_0603,0603,1,12k resistor 0603,C2907097
"RESISTANCE_1K_0603_1, RESISTANCE_1K_0603_2",0603,2,1k resistor 0603,C2907113
TP5088N,DIL-14,1,,
TRANSISTOR_NPN,SOT-23_DIO,1,MMBT2222A,C916372
Z5.1V,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4733A 1W 5.1V D_DO-41_SOD81_P10.16mm_Horizontal,C7441079
